model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration
CrossAttentionModelTFG;BPI_Challenge_2012_W;4;no-mask;7,252370085599904;7,26815709197432;0,6294372849550774;0,7677094704730626;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W;4;no-mask;6,627946659457083;9,160938601578348;0,5253534886586426;0,6610543662119204;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;0;no-mask;7,8954222868947195;7,096711320007963;0,9953370729880099;0,9419568477997434;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W;4;no-mask;7,193859386573355;7,0146520329776285;0,6014213493555285;0,7672981371719847;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;0;no-mask;8,508675531967016;7,029086053899944;1,0370836336204141;0,9779563466109203;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;0;no-mask;9,874321666168964;7,044031870864295;1,2494590457135728;1,073149486243167;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;1;no-mask;7,768664908180558;9,287311464326532;0,5727040355319487;0,7300842938985487;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;1;no-mask;6,987022154610545;9,593384805942113;0,5704925965187416;0,6939888104569419;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;1;no-mask;5,2111569860303355;6,951201564871246;0,4313144964659764;0,6018170982622125;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;2;no-mask;7,428083846610314;6,939231693980951;0,7819016298367448;0,816721871485489;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;2;no-mask;9,160211443833088;10,345314662449423;0,7414685537305084;0,8229167711924021;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;2;no-mask;6,675772901189289;6,665650389652895;0,5993344081523901;0,7311580479221514;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;3;no-mask;7,250888308744006;7,373803964418495;0,7730816371467434;0,8508996457891882;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;3;no-mask;8,80486389592043;9,454755143436019;1,013193791165346;0,9659952613767318;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;3;no-mask;7,485466096635654;6,936707394753764;0,9754898778729787;0,9335800278665166;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;4;no-mask;7,72586503649717;9,256441585445772;0,5998157934481041;0,731385179781525;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;4;no-mask;6,235260112613296;6,769693904619383;0,6508191725686295;0,726545130003036;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;4;no-mask;7,38718192491385;9,714264285633597;0,5835684271351194;0,6848044008075637;TAT
