model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration;time value
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;4,667651613786328;5,799248636942724;0,43648327470239856;0,600041270772282;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;4,605718025149791;5,722391151755852;0,4689972116361968;0,6191654198394396;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,325479817016804;5,275562032525029;0,31345110416400424;0,5085556523851882;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,3115504338444826;5,332476733252406;0,2809445955035439;0,46844742864608024;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,5915391573591435;6,09065459540178;0,5499943140880376;0,6640798651073703;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;5,126698848667779;5,462112702943128;0,4982106987688539;0,6545121963020821;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;5,450966688888273;5,240315001908974;0,596797410081624;0,6885210897235801;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;4,944089305275837;5,23819575903127;0,47720035148969064;0,6372407982017989;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;0;no-mask;8,93310739920678;7,369147746195705;1,0867922882372438;0,9889665934135838;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;0;no-mask;10,746876839117752;7,470462472644753;1,3621792578655127;1,1264815883622743;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;1;no-mask;6,784501180506095;7,300165765600451;0,5566865996204506;0,7320730541646917;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;1;no-mask;5,833097884435878;7,404121486910882;0,4860914226599422;0,6511476502063875;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;2;no-mask;7,03143544334915;7,251050147215706;0,7069177436189861;0,7849499926986502;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;2;no-mask;7,873624292872913;7,193172478519201;0,7593269087779471;0,8418221711084025;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;3;no-mask;9,298792440311038;7,575455223674112;1,1877592600495648;1,0438709743394001;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;3;no-mask;7,792840529627124;7,50178155249783;1,0520338279208232;0,9672512193846659;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;4;no-mask;7,975279413175657;7,233508143910276;0,7128564440982269;0,824106605566263;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;4;no-mask;7,185923545263915;7,151540282603562;0,680292975189621;0,7999967971003205;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;0;no-mask;7,601845029096752;7,229547189491723;0,8742990180329874;0,8964044711254591;TAT;durations
